"","incits","county or equivalent","state or equivalent"
"1","01005","Barbour County","Alabama"
"2","01007","Bibb County","Alabama"
"3","01009","Blount County","Alabama"
"4","01011","Bullock County","Alabama"
"5","01013","Butler County","Alabama"
"6","01015","Calhoun County","Alabama"
"7","01017","Chambers County","Alabama"
"8","01019","Cherokee County","Alabama"
"9","01021","Chilton County","Alabama"
"10","01023","Choctaw County","Alabama"
"11","01025","Clarke County","Alabama"
"12","01027","Clay County","Alabama"
"13","01029","Cleburne County","Alabama"
"14","01031","Coffee County","Alabama"
"15","01033","Colbert County","Alabama"
"16","01035","Conecuh County","Alabama"
"17","01037","Coosa County","Alabama"
"18","01039","Covington County","Alabama"
"19","01041","Crenshaw County","Alabama"
"20","01043","Cullman County","Alabama"
"21","01045","Dale County","Alabama"
"22","01047","Dallas County","Alabama"
"23","01049","DeKalb County","Alabama"
"24","01051","Elmore County","Alabama"
"25","01053","Escambia County","Alabama"
"26","01055","Etowah County","Alabama"
"27","01057","Fayette County","Alabama"
"28","01059","Franklin County","Alabama"
"29","01061","Geneva County","Alabama"
"30","01063","Greene County","Alabama"
"31","01065","Hale County","Alabama"
"32","01067","Henry County","Alabama"
"33","01069","Houston County","Alabama"
"34","01071","Jackson County","Alabama"
"35","01073","Jefferson County","Alabama"
"36","01075","Lamar County","Alabama"
"37","01077","Lauderdale County","Alabama"
"38","01079","Lawrence County","Alabama"
"39","01081","Lee County","Alabama"
"40","01083","Limestone County","Alabama"
"41","01085","Lowndes County","Alabama"
"42","01087","Macon County","Alabama"
"43","01089","Madison County","Alabama"
"44","01091","Marengo County","Alabama"
"45","01093","Marion County","Alabama"
"46","01095","Marshall County","Alabama"
"47","01097","Mobile County","Alabama"
"48","01099","Monroe County","Alabama"
"49","01101","Montgomery County","Alabama"
"50","01103","Morgan County","Alabama"
"51","01105","Perry County","Alabama"
"52","01107","Pickens County","Alabama"
"53","01109","Pike County","Alabama"
"54","01111","Randolph County","Alabama"
"55","01113","Russell County","Alabama"
"56","01115","St. Clair County","Alabama"
"57","01117","Shelby County","Alabama"
"58","01119","Sumter County","Alabama"
"59","01121","Talladega County","Alabama"
"60","01123","Tallapoosa County","Alabama"
"61","01125","Tuscaloosa County","Alabama"
"62","01127","Walker County","Alabama"
"63","01129","Washington County","Alabama"
"64","01131","Wilcox County","Alabama"
"65","01133","Winston County","Alabama"
"66","02013","Aleutians East Borough[a]","Alaska"
"67","02016","Aleutians West Census Area[b]","Alaska"
"68","02020","Anchorage, Municipality of[a][c]","Alaska"
"69","02050","Bethel Census Area[b]","Alaska"
"70","02060","Bristol Bay Borough[a]","Alaska"
"71","02063","Chugach Census Area[b]","Alaska"
"72","02066","Copper River Census Area[b]","Alaska"
"73","02068","Denali Borough[a]","Alaska"
"74","02070","Dillingham Census Area[b]","Alaska"
"75","02090","Fairbanks North Star Borough[a]","Alaska"
"76","02100","Haines Borough[a]","Alaska"
"77","02105","Hoonah–Angoon Census Area[b]","Alaska"
"78","02110","Juneau, City and Borough of[a][d]","Alaska"
"79","02122","Kenai Peninsula Borough[a]","Alaska"
"80","02130","Ketchikan Gateway Borough[a]","Alaska"
"81","02150","Kodiak Island Borough[a]","Alaska"
"82","02158","Kusilvak Census Area[b]","Alaska"
"83","02164","Lake and Peninsula Borough[a]","Alaska"
"84","02170","Matanuska-Susitna Borough[a]","Alaska"
"85","02180","Nome Census Area[b]","Alaska"
"86","02185","North Slope Borough[a]","Alaska"
"87","02188","Northwest Arctic Borough[a]","Alaska"
"88","02195","Petersburg Borough[a][e]","Alaska"
"89","02198","Prince of Wales – Hyder Census Area[b]","Alaska"
"90","02220","Sitka, City and Borough of[a][f]","Alaska"
"91","02230","Skagway, Municipality of[a]","Alaska"
"92","02240","Southeast Fairbanks Census Area[b]","Alaska"
"93","02275","Wrangell, City and Borough of[a]","Alaska"
"94","02282","Yakutat, City and Borough of[a][g]","Alaska"
"95","02290","Yukon–Koyukuk Census Area[b]","Alaska"
"96","60010","Eastern District[2]","American Samoa"
"97","60020","Manu'a District[2]","American Samoa"
"98","60030","Rose Atoll (Rose Island)[2]","American Samoa"
"99","60040","Swains Island[2]","American Samoa"
"100","60050","Western District[2]","American Samoa"
"101","04001","Apache County","Arizona"
"102","04003","Cochise County","Arizona"
"103","04005","Coconino County","Arizona"
"104","04007","Gila County","Arizona"
"105","04009","Graham County","Arizona"
"106","04011","Greenlee County","Arizona"
"107","04012","La Paz County","Arizona"
"108","04013","Maricopa County","Arizona"
"109","04015","Mohave County","Arizona"
"110","04017","Navajo County","Arizona"
"111","04019","Pima County","Arizona"
"112","04021","Pinal County","Arizona"
"113","04023","Santa Cruz County","Arizona"
"114","04025","Yavapai County","Arizona"
"115","04027","Yuma County","Arizona"
"116","05001","Arkansas County","Arkansas"
"117","05003","Ashley County","Arkansas"
"118","05005","Baxter County","Arkansas"
"119","05007","Benton County","Arkansas"
"120","05009","Boone County","Arkansas"
"121","05011","Bradley County","Arkansas"
"122","05013","Calhoun County","Arkansas"
"123","05015","Carroll County","Arkansas"
"124","05017","Chicot County","Arkansas"
"125","05019","Clark County","Arkansas"
"126","05021","Clay County","Arkansas"
"127","05023","Cleburne County","Arkansas"
"128","05025","Cleveland County","Arkansas"
"129","05027","Columbia County","Arkansas"
"130","05029","Conway County","Arkansas"
"131","05031","Craighead County","Arkansas"
"132","05033","Crawford County","Arkansas"
"133","05035","Crittenden County","Arkansas"
"134","05037","Cross County","Arkansas"
"135","05039","Dallas County","Arkansas"
"136","05041","Desha County","Arkansas"
"137","05043","Drew County","Arkansas"
"138","05045","Faulkner County","Arkansas"
"139","05047","Franklin County","Arkansas"
"140","05049","Fulton County","Arkansas"
"141","05051","Garland County","Arkansas"
"142","05053","Grant County","Arkansas"
"143","05055","Greene County","Arkansas"
"144","05057","Hempstead County","Arkansas"
